 clusterID,  avg_length,  avg_angle,  HH,  mm,  N_WRuns 
1,445.7142857142857,5.23159504516,10,19,7
10,422.5,6.20061194942,10,26,4
11,580.0,5.82691279173,10,26,4
14,526.25,6.09800594382,10,22,8
15,477.5,6.13753605571,10,23,4
16,511.6666666666667,6.0745603926,10,22,6
2,467.5,0.388916258975,10,19,4
22,365.0,3.64841080012,10,11,4
24,580.9090909090909,5.72926676222,10,7,11
25,490.0,0.0810322645438,10,8,3
26,485.0,6.05317512282,10,7,6
28,471.42857142857144,5.99445466032,10,8,7
33,377.5,0.310034886647,10,4,4
34,537.5,2.14523414694,10,5,4
35,460.0,1.79335830088,10,5,4
36,565.0,1.93955699544,10,2,4
37,546.0,6.04076305807,10,2,5
39,400.0,5.92787923956,10,1,5
41,462.5,2.24394268591,10,4,4
43,550.0,2.00563827159,10,3,4
44,545.0,2.26900469118,10,3,6
46,554.0,6.00210775534,10,3,5
47,525.5555555555555,5.98376430404,10,2,9
